Befehl:,soll SKR03,haben SKR03,profit center, ,Betreff,Betrag (brutto),"Zuordnung
Mnt",Buchungstag Wertstellung,"0,00 €",grün ist okay,BW,AN,RW,JM,KR,IK,SR,Extern,Rest
ER,,,K,,"Miete & Catering places, Workshop Diana","2.247,51 €",2017-12,21.12.2017,"319.545,51 €",,,,,,,,,,
Gehalt,,,BW,,Gehalt Ben 2017-12,"3.869,65 €",2017-12,21.12.2017,"315.675,86 €",,,,,,,,,,
ER,,,K,,"Jungheinrich, Christine","4.284,00 €",2017-12,21.12.2017,"311.391,86 €",,,,,,,,,,
ER,,,K,,"BB, Johannes B.","5.277,89 €",2017-12,22.12.2017,"306.113,97 €",,,,,,,,,,
IS,,,RW,,118,"5.900,00 €",2017-12,22.12.2017,"306.113,97 €",,,,,,,,,,
IS,,,AN,,5k für erste Jahreshälte 2017,"5.000,00 €",2017-06,22.12.2017,"306.113,97 €",,,,,,,,,,
ER,,,K,,"BB, Sven","6.164,20 €",2017-12,22.12.2017,"299.949,77 €",,,,,,,,,,
ER,,,RW,,"SEPA-Basislastschrift
Hetzner Online GmbH
Rechnungsnr.: R0007614927 -
Kundennr.: K0720512117","8,21 €",2017-12,22.12.2017,"299.941,56 €",,,,,,,,,,
ER,,,K,,"BB, Erhan","1.264,38 €",2017-12,22.12.2017,"298.677,18 €",,,,,,,,,,
IS,,,JM,,"97,75","4.887,50 €",2017-12,22.12.2017,"298.677,18 €",,,,,,,,,,
AR,,,JM,,"BB, Johannes B. 2017-12-20-10078","6.597,36 €",2017-12,22.12.2017,"305.274,54 €",,,,,,,,,"5.544,00 €","0,00 €"
AR,,,JM,,Hanseatic Bank  2017-11-07-10052,"6.454,56 €",2017-10,22.12.2017,"311.729,10 €",,,"2.362,50 €",,"1.237,50 €",,,,,"1.824,00 €"
AR,,,JM,,Hanseatic Bank 2017-12-04-10062 ,"24.427,73 €",2017-11,22.12.2017,"336.156,83 €","
",,"12.037,50 €",,"4.275,00 €",,,,"1.350,00 €","2.865,00 €"
AR,,,K,,"BB, Sven 2017-12-20-10077","7.705,25 €",2017-12,22.12.2017,"343.862,08 €",,,,,,,,,"6.475,00 €","0,00 €"
IS,,,AN,,165,"8.250,00 €",2017-12,22.12.2017,"343.862,08 €",,,,,,,,,,
ER,,,K,,"BB, Erhan","15.358,44 €",2017-11,27.12.2017,"328.503,64 €",,,,,,,,,,
ER,,,JM,,"SEPA-Basislastschrift
congstar GmbH
Kundennummer 2203095056/RG
7218777058 vom 19.12.17","48,64 €",2017-12,27.12.2017,"328.455,00 €",,,,,,,,,,
ER,,,RW,,Belelegabrechnung Ralf 12-2017,"348,16 €",2017-12,27.12.2017,"328.106,84 €",,,,,,,,,,
ER,,,K,AOK-Experiment,Reisekosten AOK/Ben Dezember,"619,12 €",2017-12,27.12.2017,"327.487,72 €",,,,,,,,,,
SV-Beitrag,,,BW,,"SEPA-Basislastschrift
KKH HAUPTVERW., HANNOVER
BEITRAG 12/17 FUER 93525026
KOMMISTMENT GMBH + CO. KG
SOZIALVERSICHERUNGSBEITRAG
KKH 1.385,10 EU
R Mandat 0508200382-0202-2","1.385,10 €",2017-12,27.12.2017,"326.102,62 €",,,,,,,,,,
ER,,,JM,,"SEPA-Basislastschrift
1u1 Telecom GmbH
KD-Nr. K534249484/ RG-Nr. 1
50401804281","17,19 €",2017-12,28.12.2017,"326.085,43 €",,,,,,,,,,
ER,,,K,,"BB, Susanne","9.412,90 €",2017-12,28.12.2017,"316.672,53 €",,,,,,,,,,
AR,,,AN,,"Verinion, innogy 2017-12-05-10066","7.973,00 €",2017-12,28.12.2017,"324.645,53 €",,,"6.700,00 €",,,,,,,"0,00 €"
ER,,,K,,"BB, Elena","13.708,80 €",2017-12,28.12.2017,"310.936,73 €",,,,,,,,,,
AR,,,JM,,"BB, Susanne 2017-12-20-10082","11.766,13 €",2017-12,28.12.2017,"322.702,86 €",,,,,,,,,"9.887,50 €","0,00 €"
AR,,,JM,,Hanseatic Bank 2017-12-20-10080,"8.213,98 €",2017-12,29.12.2017,"330.916,84 €",,,"3.037,50 €",,"675,00 €",,,,"3.190,00 €","0,00 €"
ER,,,K,,"
30.12.2017        Zinsen/Kontoführung
Abrechnung vom 29.12.2017 ","28,18 €",2017-12,30.12.2017,"330.888,66 €","330.888,66 €",,,,,,,,,
SKR03,4120,965,K,,"sonstige Rückstellung laut Jahresabschluss T&R
Berufsgenossenschaft: 100","100,00 €",2017-12,31.12.2017,"330.888,66 €",,,,,,,,,,
SKR03,4200,965,K,,"sonstige Rückstellung laut Jahresabschluss T&R
Mobilfunk: 86,73+43,63
Thiemer+Ralf Fibu: 385,","515,36 €",2017-12,31.12.2017,"330.888,66 €",,,,,,,,,,
SKR03,4855,480,K,,Sofortabschreibung GWG Bose Headphones,"794,09",2017-12,31.12.2017,"330.888,66 €",,,,,,,,,,
SKR03,4855,480,AN,,Sofortabschreibung GWG Apple Watch,"377,31",2017-12,31.12.2017,"330.888,66 €",,,,,,,,,,
SKR03,4822,410,K,,Normalabschreibung Sachanlagen,"1.557,54",2017-12,31.12.2017,"330.888,66 €",,,,,,,,,,
SKR03,4822,25,K,,Normalabschr. immater. VermG,"3.146,00",2017-12,31.12.2017,"330.888,66 €",,,,,,,,,,
SKR03,4957,965,K,,Abschluss Thiemer & Ralf ,"4.270,00 €",2017-12,31.12.2017,"330.888,66 €",,,,,,,,,,
SKR03,4120,965,BW,,BenBonus2017 Umbuchung in 12/2017 - Rückstellung,"25.607,00 €",2017-12,31.12.2017,"330.888,66 €","330.888,66 €",,,,,,,,,
SKR03,4320,956,K,,GWSteuerRückstellung 2017,"84.706,00 €",2017-12,31.12.2017,"330.888,66 €","330.888,66 €",,,,,,,,,
SKR03,4140,4900,,,skr03 4140 Freiwillige soziale Aufwendung. LSt-frei,"285,19 €",2017-12,31.12.2017,"330.888,66 €",,,,,,,,,,
SKR03,9000,25,K,,EB: 25 Ähnliche Rechte und Werte,"5.504,00 €",2017-12,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,410,K,,EB: Geschäftsausstattung,"10.905,00 €",2017-12,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,1400,K,,EB: Forderungen aus L&L -  sind als AR / OPOS schon erfasst,"0,00 €",2017-12,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,1525,9000,K,,EB: Kautionen,"0,00 €",2017-12,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,1548,K,,EB: Vorst. in Folgeperiode /-jahr abziehbar,"11.515,50 €",2017-12,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,1200,K,,EB: Anfangsbestand Bankkonto,"330.888,66 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,920,9000,RW,,EB: Eigenkapital Hafteinlage ,"500,00 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,920,9000,AN,,EB: Eigenkapital Hafteinlage ,"500,00 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,920,9000,JM,,EB: Eigenkapital Hafteinlage ,"500,00 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,920,9000,RW,,EB: Verbindlichkeiten: 9790 Restanteil nach Abzug der GV,"72.393,12 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,920,9000,AN,,EB: Verbindlichkeiten: 9790 Restanteil nach Abzug der GV,"73.118,61 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,920,9000,JM,,EB: Verbindlichkeiten: 9790 Restanteil nach Abzug der GV,"183.199,73 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,970,9000,K,,"EB: Rückstellungen aus Vorjahr:
970 Sonstige Rückstellungen 615,36 
","615,36 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,977,9000,K,,"EB: Rückstellungen aus Vorjahr:
977 Rückstellungen für Abschluss u. Prüfung 4.270,00","4.270,00 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,970,9000,K,,"EB: Anfangsbestand Rückstellungen Bens Bonus
25607","25.607,00 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,956,9000,K,,"EB: Anfangsbestang Gewebesteuerrückstellung
123876,00€","123.876,00 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,1600,9000,JM,,EB: Verbindl. ggb. Kommanditisten Mainusch 2017,"641,38 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,1600,9000,RW,,EB: Verbindl. ggb. Kommanditisten Wirdemann 2017,"0,00 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,1600,9000,AN,,EB: Verbindl. ggb. Kommanditist Nehrenberg 2017,"473,85 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,1600,9000,K,,EB: Verbindl. aus Lieferungen u. Leistungen,"37.800,52 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,731,9000,K,,EB: Verb. ggü. anderen Gesellschaftern,"1.751,68 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,1770,9000,K,,EB: sonstige Verbindlkichkeiten Ust.,"21.905,57 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,2700,9000,K,,"EB: sonstige perriodenfremde Erträge --> Winsim-52,31 €","0,00 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,9000,2700,K,,"EB: sonstige perriodenfremde Erträge --> Winsim 52,31 €","0,00 €",2018-01,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,2520,9000,K,,"EB: sonstige perriodenfremde Erträge --> Thalia RK 414,58 €","0,00 €",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,9000,2520,K,,"EB: sonstige perriodenfremde Erträge --> Thalia RK 414,58 €","0,00 €",2018-01,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,25,9000,K,,EB: 25 Ähnliche Rechte und Werte,"5.504,00 €",2018-01,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,410,9000,K,,EB: Geschäftsausstattung,"10.905,00 €",2018-01,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,9000,1400,K,,EB: Forderungen aus L&L,"188339,66",2017-12,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,1400,9000,K,,EB: Forderungen aus L&L,"188.339,66 €",2018-01,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,1525,9000,K,,EB: Kautionen,"0,00 €",2018-01,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,1548,9000,K,,EB: Vorst. in Folgeperiode /-jahr abziehbar,"11.515,50 €",2018-01,1.1.2018,"0,00 €",,,,,,,,,,
SKR03,1200,9000,K,,EB: Anfangsbestand Bankkonto,"330.888,66 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,920,RW,,EB: Eigenkapital Hafteinlage ,"500,00 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,920,AN,,EB: Eigenkapital Hafteinlage ,"500,00 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,920,JM,,EB: Eigenkapital Hafteinlage ,"500,00 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,920,RW,,EB: Verbindlichkeiten 2017: 9790 Restanteil nach Abzug der GV,"72.393,12 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,920,AN,,EB: Verbindlichkeiten 2017: 9790 Restanteil nach Abzug der GV,"73.118,61 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,920,JM,,EB: Verbindlichkeiten 2017: 9790 Restanteil nach Abzug der GV,"183.199,73 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,970,K,,"EB: Rückstellungen aus Vorjahr:
970 Sonstige Rückstellungen 615,36 
","615,36 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,977,K,,"EB: Rückstellungen aus Vorjahr:
977 Rückstellungen für Abschluss u. Prüfung 4.270,00","4.270,00 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,970,K,,"EB: Anfangsbestand Rückstellungen Bens Bonus
25607","25.607,00 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,956,K,,"EB: Anfangsbestang Gewebesteuerrückstellung
123876,00€","123.876,00 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,1600,JM,,EB: Verbindl. ggb. Kommanditisten Mainusch 2017,"641,38 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,1600,RW,,EB: Verbindl. ggb. Kommanditisten Wirdemann 2017,"0,00 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,1600,AN,,EB: Verbindl. ggb. Kommanditist Nehrenberg 2017,"473,85 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,1600,K,,EB: Verbindl. aus Lieferungen u. Leistungen,"37.800,52 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,731,K,,EB: Verb. ggü. anderen Gesellschaftern,"1.751,68 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
SKR03,9000,1770,K,,EB: sonstige Verbindlkichkeiten Ust.,"21.905,57 €",2018-01,1.1.2018,"330.888,66 €",,,,,,,,,,
ER,,,K,,"Jutta, Anteil Workshop Diana","742,00 €",2017-12,1.1.2018,"330.146,66 €",,,,,,,,,,
SKR03,9000,1200,K,,EB: Anfangsbestand Bankkonto,"347.430,36 €",1018-12,1.1.2018,"-17.283,70 €",,,,,,,,,,
SKR03,1200,9000,K,,EB: Anfangsbestand Bankkonto,"347.430,36 €",2019-01,1.1.2018,"330.146,66 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Domains","64,26 €",2018-01,2.1.2018,"330.082,40 €",,,,,,,,,,
ER,,,K,,"BB, Jutta","15.284,06 €",2017-12,2.1.2018,"314.798,34 €",,,,,,,,,,
ER,,,K,,"Überweisungs-Gutschrift
GLS Gemeinschaftsbank eG
MASTERCARD Abrechnung DR. J
OHANNES MAINUSCH","-139,49 €",2018-01,2.1.2018,"314.937,83 €",,,,,,,,,,
ER,,,AN,,Belegabrechnung AN 2017-12,"473,85 €",2018-01,2.1.2018,"314.463,98 €",,,,,,,,,,
GV,,,JM,,Entnahme 2018-01,"6.000,00 €",2018-01,2.1.2018,"308.463,98 €",,,,,,,,,,
GV,1900,1200,RW,,RW-GV: Entnahme 2018-01,"8.000,00 €",2018-01,2.1.2018,"300.463,98 €","300.463,98 €",,,,,,,,,
GV,,,AN,,Entnahme 2018-01,"6.000,00 €",2018-01,2.1.2018,"294.463,98 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Miete Büro","824,78 €",2018-01,3.1.2018,"293.639,20 €",,,,,,,,,,
AR,,,JM,,"BB, Johannes 2017-12-22-10088  ","4.652,90 €",2017-12,3.1.2018,"298.292,10 €",,,,,"3.910,00 €",,,,,"0,00 €"
AR,,,K,,wlw 2017-12-20-10081,"5.462,10 €",2017-12,3.1.2018,"303.754,20 €",,"4.590,00 €",,,,,,,,"0,00 €"
ER,,,K,,"Rechnung Diana für Workshop --> gehört eigentlich in 2017
Leistungsdatum fehlt auf Rechnung","4.926,85 €",2018-01,4.1.2018,"298.827,35 €",,,,,,,,,,
AR,,,JM,,"BB, Elena 2017-12-21-10083","17.136,00 €",2017-12,4.1.2018,"315.963,35 €",,,,,,,,,"14.400,00 €","0,00 €"
AR,,,JM,CEWE-Transition,Cewe 2017-12-07-10071,"24.678,57 €",2017-12,4.1.2018,"340.641,92 €",,,"9.000,00 €",,"10.687,50 €",,,,,"1.050,79 €"
ER,,,K,,"Car2Go 2017-10 (manuell überwiesen, Mahnung)","142,14 €",2018-01,4.1.2018,"340.499,78 €",,,,,,,,,,
ER,,,K,HB-SolutionLab,Miete mindspace,"3.498,60 €",2018-01,4.1.2018,"337.001,18 €",,,,,,,,,,
ER,,,K,,XING 120180162611,"329,85 €",2017-12,5.1.2018,"336.671,33 €",,,,,,,,,,
AR,,,K,,XING 120180162611 --> Rücküberweisung mit Gutschrift,"329,85 €",2017-12,5.1.2018,"337.001,18 €",,,,,,,,,,"277,18 €"
AR,,,K,,"Überweisungs-Gutschrift (zweiter Teil)
XING SE
Auszahlung 2018-01-15846542
27 Leading Agile Adoptions
with the Agile Fluency Ga","4.615,00 €",2017-12,5.1.2018,"341.616,18 €",,,,,,,,,,"3.878,15 €"
ER,,,AN,,"Vcomtec, Wolkesicher","4,99 €",2018-01,5.1.2018,"341.611,19 €",,,,,,,,,,
ER,,,JM,AOK-ZukunftswerkstattExperiment,Catering Zukunftswerkstatt AOK,"999,60 €",2017-12,8.1.2018,"340.611,59 €", ,,,,,,,,,
ER,,,K,,mite,"20,00 €",2018-01,8.1.2018,"340.591,59 €",,,,,,,,,,
ER,,,K,,Belegabrechnung 2018-01 RW --> MAcbook 15'' Anlage,"2.819,00 €",2018-01,8.1.2018,"337.772,59 €",,,,,,,,,,
AR,,,K,,Thinkpad Verkauf Ralf,"1.200,00 €",2018-01,8.1.2018,"338.972,59 €",,,,,,,,,,"1.008,40 €"
AR,,,JM,,"Jungheinrich, Hannes + Ben 2017-12-08-10073","833,00 €",2017-11,9.1.2018,"339.805,59 €","339.805,59 €","400,00 €",,"300,00 €",,,,,,"0,00 €"
ER,,,RW,,Drillisch,"16,99 €",2018-01,10.1.2018,"339.788,60 €",,,,,,,,,,
AR,,,JM,,Jungheinrich 2017-11-07-10055,"10.591,00 €",2017-10,11.1.2018,"350.379,60 €",,"4.000,00 €",,,"4.900,00 €",,,,,"0,00 €"
AR,,,"JM, BW",AOK-Experiment,AOK Ben Nov 2017-12-23-10091,"13.582,98 €",2017-11,12.1.2018,"363.962,58 €",,"10.937,50 €",,,,,,,,"476,77 €"
AR,,,JM,,Prosoz 2017-12-21-10087,"4.760,00 €",2017-12,12.1.2018,"368.722,58 €",,,,,"4.000,00 €",,,,,"0,00 €"
AR,,,"JM, BW",AOK-Experiment,AOK Johannes Dez 2018-01-02-10093,"6.045,87 €",2017-12,12.1.2018,"374.768,45 €",,,,,"4.625,00 €",,,,,"455,56 €"
AR,,,"JM, BW",AOK-Experiment,AOK Ben Dez 2017-12-23-10092,"17.788,30 €",2017-12,12.1.2018,"392.556,75 €",,"14.406,26 €",,,,,,,,"541,89 €"
UstVZ,,,K,,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 UMS.S
T NOV.17 10.843,11EUR","10.843,11 €",2017-11,15.1.2018,"381.713,64 €",,,,,,,,,,
ER,,,JM,,Reisekostenabrechnung- JM-20171221-Belege 15.01.18,"641,38 €",2017-12,15.1.2018,"381.072,26 €",,,,,,,,,,
LNSteuer,,,BW,,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 LOHN
ST DEZ.17 1.511,45EUR UMS.S
T NOV.17 10.843,11EUR","1.511,45 €",2017-12,15.1.2018,"379.560,81 €",,,,,,,,,,
AR,,,K,,"JOH.BERENBERG,GOSSLER+CO.KG
RG.NR. 2017-12-01-10060 KD
10006","13.328,00 €",2017-12,15.1.2018,"392.888,81 €","doppelt überwiesen, wurde schon am 14.12. 2017 überwiesen",,,,,,,,"11.200,00 €","0,00 €"
ER,,,RW,,"ET-FFM-2018-ID3002-ET-FFM-2
018-0007
9, Frankfurt Entwicklertag","107,10 €",2018-01,16.1.2018,"392.781,71 €",,,,,,,,,,
ER,,,AN,,Telekom,"103,21 €",2018-01,17.1.2018,"392.678,50 €",,,,,,,,,,
ER,,,K,,"Car2Go 2017-10 (manuell überwiesen, Mahnung)","106,52 €",2018-01,17.1.2018,"392.571,98 €",,,,,,,,,,
AR,,,JM,Jungheinrich-Christine,"Jungheinrich, Christine 2017-12-15-10076","26.581,20 €",2017-11,18.1.2018,"419.153,18 €",,,,,,,,,"22.000,00 €","337,14 €"
AR,,,JM,Jungheinrich-Ralf,"Jungheinrich, Ralf 2017-12-20-10079","12.792,50 €",2017-11,22.1.2018,"431.945,68 €",,,,"10.750,00 €",,,,,,"0,00 €"
ER,,,BW,,Telekom,"51,92 €",2018-01,22.1.2018,"431.893,76 €",,,,,,,,,,
AR,,,JM,Jungheinrich-JDS-Orga,"Jungheinrich, JM+BW Sept 2017-12-21-10085","1.428,00 €",2017-12,23.1.2018,"433.321,76 €",,"600,00 €",,,"600,00 €",,,,,"0,00 €"
AR,,,JM,Jungheinrich-Christine,"Jungheinrich, Christine 2017-12-21-10084","5.712,00 €",2017-12,23.1.2018,"439.033,76 €",,,,,,,,,"4.500,00 €","300,00 €"
AR,,,JM,Jungheinrich-Ralf,"Jungheinrich, Ralf  2017-12-21-10086","15.827,00 €",2017-12,23.1.2018,"454.860,76 €",,,,"13.300,00 €",,,,,,"0,00 €"
ER,,,JM,,congstar,"154,36 €",2018-01,23.1.2018,"454.706,40 €",,,,,,,,,,
Gehalt,,,BW,,Gehalt Ben 2018-01,"3.893,86 €",2018-01,23.1.2018,"450.812,54 €",,,,,,,,,,
ER,,,RW,,Hetzner,"8,21 €",2018-01,24.1.2018,"450.804,33 €",,,,,,,,,,
ER,,,JM,,"SEPA-Basislastschrift
1u1 Telecom GmbH
KD-Nr. K534249484/ RG-Nr. 1
50416391707","16,99 €",2018-01,24.1.2018,"450.787,34 €",,,,,,,,,,
ER,,,JM,SIGS-Interviews,Rechnung02180125_Kommitment_Transkription,"155,20 €",2018-01,25.1.2018,"450.632,14 €",,,,,,,,,,
GV-Vorjahr,,,RW,,Gewinn 2017 Vorabentnahme,"35.000,00 €",2018-01,25.1.2018,"415.632,14 €",,,,,,,,,,
ER,,,AN,,Wolkesicher,"4,99 €",2018-01,26.1.2018,"415.627,15 €",,,,,,,,,,
ER,,,K,,easybill,"119,00 €",2018-01,26.1.2018,"415.508,15 €",,,,,,,,,,
SV-Beitrag,,,BW,,KKH,"1.389,09 €",2018-01,29.1.2018,"414.119,06 €",,,,,,,,,,
IS,,,AN,,"Interne Stunden
Admin/Orga intern (nicht-verrechenbar) (Aktiv)
Akquise (nicht-verrechenbar) (Aktiv)
Recruiting (nicht-verrechenbar) (Aktiv)
Vorträge, Panels etc. (nicht-verrechenbar) (Aktiv)","1.375,00 €",2018-01,30.1.2018,"414.119,06 €",,,,,,,,,,
IS,,,JM,,Interne Stunden,"2.950,00 €",2018-01,30.1.2018,"414.119,06 €",,,,,,,,,,
ER,,,K,,Kontoführung,"19,49 €",2018-01,31.1.2018,"414.099,57 €",,,,,,,,,,
ER,,,RW,,Belegabrechnung RW 1-2018,"485,54 €",2018-01,31.1.2018,"413.614,03 €",,,,,,,,,,
GWSteuer,4320,1200,K,,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 GEW.
ST 2016 39.170,20EUR GEW.ST
2017 74.027,40EUR","39.170,20 €",2018-01,1.2.2018,"374.443,83 €",,,,,,,,,,
SKR03,956,4320,K,,"Steuerrückstellung auflösen 39170,20+74027,40","74.027,40 €",2018-01,1.2.2018,"374.443,83 €",,,,,,,,,,
SKR03,956,4320,K,,"Steuerrückstellung auflösen 39170,20+74027,40","39.170,20 €",2018-01,1.2.2018,"374.443,83 €",,,,,,,,,,
GWSteuer,4320,1200,K,,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 GEW.
ST 2016 39.170,20EUR GEW.ST
2017 74.027,40EUR","74.027,40 €",2018-01,1.2.2018,"300.416,43 €",,,,,,,,,,
ER,,,K,AOK-Experiment,AOK-RK-JM-201801,"97,90 €",2018-01,1.2.2018,"300.318,53 €",,,,,,,,,,
ER,,,K,AOK-Experiment,AOK-RK-JM-20180122,"123,50 €",2018-01,1.2.2018,"300.195,03 €",,,,,,,,,,
ER,,,K,,Belegabrechnung 2018-01,"227,75 €",2018-01,1.2.2018,"299.967,28 €",,,,,,,,,,
ER,,,K,AOK-Experiment,Erstattung Reisekosten AOK/Ben 29.1.-1.2.2018,"454,10 €",2018-01,1.2.2018,"299.513,18 €",,,,,,,,,,
ER,,,K,AOK-Experiment,Erstattung Reisekosten AOK/Ben 14-19.01. 2018 und 22-25.02.2018,"892,60 €",2018-01,1.2.2018,"298.620,58 €",,,,,,,,,,
GV,,,AN,,Entnahme 2018-02,"6.000,00 €",2018-02,1.2.2018,"292.620,58 €",,,,,,,,,,
GV,,,JM,,Entnahme 2018-02,"6.000,00 €",2018-02,1.2.2018,"286.620,58 €",,,,,,,,,,
GV,1900,1200,RW,,RW-GV: Entnahme 2018-02,"8.000,00 €",2018-02,1.2.2018,"278.620,58 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Miete Büro","824,78 €",2018-02,5.2.2018,"277.795,80 €",,,,,,,,,,
ER,,,K,,mite,"20,00 €",2018-02,6.2.2018,"277.775,80 €",,,,,,,,,,
ER,,,K,,"Mesnerhaus, Offsite bei Gesa","524,00 €",2018-02,8.2.2018,"277.251,80 €",,,,,,,,,,
ER,,,K,,"Anwalt, KG-Vertrag","1.166,20 €",2018-02,8.2.2018,"276.085,60 €",,,,,,,,,,
ER,,,K,HB-SolutionLab,Miete mindspace,"3.498,60 €",2018-02,8.2.2018,"272.587,00 €",,,,,,,,,,
ER,,,RW,,Drillisch,"16,99 €",2018-02,9.2.2018,"272.570,01 €",,,,,,,,,,
ER,,,K,,RK OOP 2018 Ralf,"401,28 €",2018-02,9.2.2018,"272.168,73 €",,,,,,,,,,
ER,,,K,,Thiemer & Ralf,"458,15 €",2017-12,12.2.2018,"271.710,58 €",,,,,,,,,,
ER,,,K,,Haftungsvergütung Gf GmbH,"1.337,00 €",2017-12,12.2.2018,"270.373,58 €",,,,,,,,,,
ER,,,RW,,Bahncard 25,"62,00 €",2018-02,12.2.2018,"270.311,58 €",,,,,,,,,,
ER,,,K,,"car2Go (manuell überwiesen, Mahnung)","92,22 €",2018-01,13.2.2018,"270.219,36 €",,,,,,,,,,
UstVZ,,,K,,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 UMS.ST
VZ2018 13.142,00EUR","13.142,00 €",2018-01,15.2.2018,"257.077,36 €",,,,,,,,,,
AR,,,JM,Berenberg-JohannesB,"BB, Johannes B., 2018-02-07-10102","12.566,40 €",2018-01,15.2.2018,"269.643,76 €",,,,,,,,,"10.560,00 €","0,00 €"
LNSteuer,,,BW,,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 LOHN
ST JAN.18 1.490,09EUR","1.490,09 €",2018-01,15.2.2018,"268.153,67 €",,,,,,,,,,
UstVZ,,,K,,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 UMS.S
T DEZ.17 9.136,43EUR","9.136,43 €",2017-12,15.2.2018,"259.017,24 €",,,,,,,,,,
ER,,,K,,"Norddeutscher Rundfunk
Rundfunk 01.201
8 - 03.2018 Beitragsnr. 644
272921","17,49 €",2018-02,15.2.2018,"258.999,75 €",,,,,,,,,,
AR,,,"JM, BW",AOK-Experiment,AOK 2018-02-01-10100,"30.204,30 €",2018-01,16.2.2018,"289.204,05 €",,"19.593,75 €",,,"4.359,38 €",,,,,"1.428,63 €"
ER,,,BW,,Telekom,"21,31 €",2018-02,19.2.2018,"289.182,74 €",,,,,,,,,,
ER,,,K,,"SEPA-Basislastschrift
Eurowings GmbH","219,96 €",2018-02,19.2.2018,"288.962,78 €",,,,,,,,,,
ER,,,BW,,Telekom,"106,48 €",2018-01,20.2.2018,"288.856,30 €",,,,,,,,,,
ER,,,K,Berenberg-JohannesB,"BB, Johannes B.","10.053,12 €",2018-01,20.2.2018,"278.803,18 €",,,,,,,,,,
